"name"
"Barkhad Abdi"
"F. Murray Abraham"
"Amy Adams"
"Nick Adams"
"Isabelle Adjani"
"Casey Affleck"
"Shohreh Aghdashloo"
"Brian Aherne"
"Riz Ahmed"
"Danny Aiello"
"Anouk Aimée"
"Eddie Albert"
"Jack Albertson"
"Alan Alda"
"Norma Aleandro"
"Jane Alexander"
"Mahershala Ali"
"Joan Allen"
"Woody Allen"
"Sara Allgood"
"Don Ameche"
"Judith Anderson"
"Julie Andrews"
"Ann-Margret"
"Yalitza Aparicio"
"Anne Archer"
"Eve Arden"
"Alan Arkin"
"George Arliss"
"Patricia Arquette"
"Jean Arthur"
"Peggy Ashcroft"
"Fred Astaire"
"Mary Astor"
"Mischa Auer"
"Margaret Avery"
"Dan Aykroyd"
"Lew Ayres"
"Lauren Bacall"
"Hermione Baddeley"
"Mary Badham"
"Fay Bainter"
"Maria Bakalova"
"Carroll Baker"
"Alec Baldwin"
"Christian Bale"
"Martin Balsam"
"Anne Bancroft"
"George Bancroft"
"Antonio Banderas"
"Ian Bannen"
"Javier Bardem"
"Sacha Baron Cohen"
"Marie-Christine Barrault"
"Adriana Barraza"
"Barbara Barrie"
"Ethel Barrymore"
"Lionel Barrymore"
"Richard Barthelmess"
"Mikhail Baryshnikov"
"Kim Basinger"
"Albert Bassermann"
"Angela Bassett"
"Alan Bates"
"Kathy Bates"
"Anne Baxter"
"Warner Baxter"
"Ned Beatty"
"Warren Beatty"
"Wallace Beery"
"Ed Begley"
"Bérénice Bejo"
"Barbara Bel Geddes"
"Ralph Bellamy"
"William Bendix"
"Roberto Benigni"
"Annette Bening"
"Tom Berenger"
"Candice Bergen"
"Ingrid Bergman"
"Elisabeth Bergner"
"Jeannie Berlin"
"Halle Berry"
"Demián Bichir"
"Charles Bickford"
"Theodore Bikel"
"Juliette Binoche"
"Karen Black"
"Betsy Blair"
"Linda Blair"
"Ronee Blakley"
"Cate Blanchett"
"Brenda Blethyn"
"Mary J. Blige"
"Joan Blondell"
"Ann Blyth"
"Humphrey Bogart"
"Beulah Bondi"
"Helena Bonham Carter"
"Shirley Booth"
"Ernest Borgnine"
"Chadwick Boseman"
"Charles Boyer"
"Lorraine Bracco"
"Alice Brady"
"Kenneth Branagh"
"Klaus Maria Brandauer"
"Marlon Brando §"
"Eileen Brennan"
"Walter Brennan"
"Abigail Breslin"
"Jeff Bridges"
"Jim Broadbent"
"Adrien Brody"
"Josh Brolin"
"Albert Brooks"
"Leslie Browne"
"Yul Brynner"
"Jessie Buckley"
"Geneviève Bujold"
"Sandra Bullock"
"Victor Buono"
"Billie Burke"
"Catherine Burns"
"George Burns"
"Ellen Burstyn"
"Richard Burton"
"Gary Busey"
"Austin Butler"
"Red Buttons"
"Spring Byington"
"James Caan"
"Adolph Caesar"
"Nicolas Cage"
"James Cagney"
"Michael Caine"
"Louis Calhern"
"Dyan Cannon"
"Steve Carell"
"Harry Carey"
"Lynn Carlin"
"Art Carney"
"Leslie Caron"
"Diahann Carroll"
"Nancy Carroll"
"Peggy Cass"
"John Cassavetes"
"Seymour Cassel"
"Richard S. Castellano"
"Keisha Castle-Hughes"
"George Chakiris"
"Timothée Chalamet"
"Jeff Chandler"
"Carol Channing"
"Stockard Channing"
"Charlie Chaplin"
"Jessica Chastain"
"Ruth Chatterton"
"Hong Chau"
"Don Cheadle"
"Michael Chekhov"
"Cher"
"Maurice Chevalier"
"Julie Christie"
"Thomas Haden Church"
"Diane Cilento"
"Candy Clark"
"Patricia Clarkson"
"Jill Clayburgh"
"Montgomery Clift"
"George Clooney"
"Glenn Close"
"Lee J. Cobb"
"Charles Coburn"
"James Coburn"
"James Coco"
"Claudette Colbert"
"Toni Collette"
"Patricia Collinge"
"Pauline Collins"
"Olivia Colman"
"Ronald Colman"
"Betty Compson"
"Jennifer Connelly"
"Kerry Condon"
"Sean Connery"
"Tom Conti"
"Bradley Cooper"
"Chris Cooper"
"Gary Cooper"
"Gladys Cooper"
"Jackie Cooper"
"Ellen Corby"
"Valentina Cortese"
"Kevin Costner"
"Marion Cotillard"
"Tom Courtenay"
"Jeanne Crain"
"Bryan Cranston"
"Broderick Crawford"
"Joan Crawford"
"Donald Crisp"
"James Cromwell"
"Hume Cronyn"
"Bing Crosby"
"Rupert Crosse"
"Lindsay Crouse"
"Russell Crowe"
"Tom Cruise"
"Penélope Cruz"
"Benedict Cumberbatch"
"Quinn Cummings"
"Jamie Lee Curtis"
"Tony Curtis"
"Joan Cusack"
"Willem Dafoe"
"Dan Dailey"
"John Dall"
"Matt Damon"
"Dorothy Dandridge"
"Bobby Darin"
"Jane Darwell"
"Jaye Davidson"
"Bette Davis"
"Geena Davis"
"Judy Davis"
"Viola Davis"
"Bruce Davison"
"Andra Day"
"Doris Day"
"Daniel Day-Lewis"
"Ana de Armas"
"Olivia de Havilland"
"Robert De Niro"
"Vittorio De Sica"
"Marina de Tavira"
"James Dean"
"Ruby Dee"
"Benicio del Toro"
"Ariana DeBose"
"William Demarest"
"Judi Dench"
"Catherine Deneuve"
"Sandy Dennis"
"Gérard Depardieu"
"Johnny Depp"
"Bruce Dern"
"Laura Dern"
"Brandon deWilde"
"Leonardo DiCaprio"
"Marlene Dietrich"
"Matt Dillon"
"Melinda Dillon"
"Richard Dix"
"Robert Donat"
"Brian Donlevy"
"Kirk Douglas"
"Melvyn Douglas"
"Michael Douglas"
"Brad Dourif"
"Robert Downey Jr."
"Louise Dresser"
"Marie Dressler"
"Richard Dreyfuss"
"Adam Driver"
"Minnie Driver"
"Jean Dujardin"
"Olympia Dukakis"
"Patty Duke"
"Faye Dunaway"
"Michael Clarke Duncan"
"James Dunn"
"Michael Dunn"
"Irene Dunne"
"Mildred Dunnock"
"Kirsten Dunst"
"Charles Durning"
"Robert Duvall"
"Jeanne Eagels"
"Clint Eastwood"
"Samantha Eggar"
"Jesse Eisenberg"
"Chiwetel Ejiofor"
"Denholm Elliott"
"Sam Elliott"
"Aunjanue Ellis"
"Hope Emerson"
"Cynthia Erivo"
"Stuart Erwin"
"Edith Evans"
"Peter Falk"
"Vera Farmiga"
"Richard Farnsworth"
"Colin Farrell"
"Michael Fassbender"
"José Ferrer"
"Sally Field"
"Ralph Fiennes"
"Peter Finch"
"Frank Finlay"
"Albert Finney"
"Colin Firth"
"Peter Firth"
"Laurence Fishburne"
"Barry Fitzgerald"
"Geraldine Fitzgerald"
"Louise Fletcher"
"Nina Foch"
"Henry Fonda"
"Jane Fonda"
"Peter Fonda"
"Joan Fontaine"
"Lynn Fontanne"
"Harrison Ford"
"Frederic Forrest"
"Robert Forster"
"Jodie Foster"
"Jamie Foxx"
"Anthony Franciosa"
"James Franco"
"Brendan Fraser"
"Morgan Freeman"
"Leonard Frey"
"Brenda Fricker"
"Clark Gable"
"Lady Gaga"
"Greta Garbo"
"Andy García"
"Vincent Gardenia"
"Ava Gardner"
"Andrew Garfield"
"John Garfield"
"William Gargan"
"Judy Garland"
"James Garner"
"Teri Garr"
"Greer Garson"
