"episode","link"
"1","https://open.spotify.com/episode/1RW0p9qbuDjrgaXl0Fccqy?si=S6gXcXMLTZyq3S6vDadP8g"
"2","https://open.spotify.com/episode/15RbLSC6kTKKhqWE81wsFe?si=tBvB_lr8TaCi6Hc5OwdG9w"
"4","https://open.spotify.com/episode/0fckqB0bWLI8F4yPPcMCVh?si=bDrn459cQdqX-d0ka4tSoA"
"5","https://open.spotify.com/episode/1Ze95XUVSJZN3xdMlYWK9j?si=0mgoam0TRRSaFfxXmTMJ2g"
"3","https://open.spotify.com/episode/6wo4TZujQhRMraT1fcHTPn?si=qWpHtezOSZO-USFeJRwXww"
"7","https://open.spotify.com/episode/12B1jyeeBqDYV2hMCrQ0kv?si=rVfsq-dRTCuYvgXksQ1RSA"
"6","https://open.spotify.com/episode/3DBqRWlBDNrqjLlOGp1hRu?si=a-_AjBlDTx-C7HubOGA9Bw"
"10","https://open.spotify.com/episode/7zmNt6yditV7SDMIlBkjic?si=v3eAufYcQ0aRhl24HOnuGA"
"9","https://open.spotify.com/episode/2nspYdjIWS302i3Nv9USEQ?si=7IBBNjE1TH-fDZ8-ifhSVg"
"8","https://open.spotify.com/episode/2mll8BYbzgxpHrHhwPGoBS?si=gF2ihh2TSWeoYzNRjgbFoA"
"12","https://open.spotify.com/episode/0WFLfPvQwTk3tljLhkLobd?si=nuBP6vdqQkSsNrellYLdSg"
"13","https://open.spotify.com/episode/1Se3n7dNgTyO8kJb9ZR3zO?si=T4kErB1hQYKpTxfMhSwPLA"
"11","https://open.spotify.com/episode/6q6ZIwuwFI56gHO1zjA4zZ?si=hprPZAqjRSikfZPn0B0C1Q"
"15","https://open.spotify.com/episode/0bFtynN0XQ4sd5wmd7uzFd?si=T_OuetE4T3uG8LX2Y6zJvQ"
"14","https://open.spotify.com/episode/76UD9Vx68qMVrxVBUJw4rG?si=r72uY2sdRcq8P11bR2hFcw"
"19","https://open.spotify.com/episode/1e6uaGtSoqJm4YKnld8HUD?si=HMqd6-mnQOeg2Rs1ajYzAA"
"16","https://open.spotify.com/episode/5QZ0biUhEEQp788FTd2ZMG?si=tT37lgp7Rkm0UoVq_1VStA"
"17","https://open.spotify.com/episode/0pMbwxcEUCIix4NvBjZX9D?si=CAWaJeAQSVm3DF61f1ePHw"
"20","https://open.spotify.com/episode/2iseHj5adNk08H3BT4CM32?si=P_vGS3K6QMmh1Z97N_AECA"
"21","https://open.spotify.com/episode/31yP6DEvPT2a92d4UeoQZR?si=2krtJHW2TaWeEwvALUawtA"
"18","https://open.spotify.com/episode/1GvAE65p1TupLf4skxKihR?si=HqTngTymQ9Gm5Xc9Psh3VQ"
"23","https://open.spotify.com/episode/7zMcxNobQPrmDHDlwcz51B?si=U-gGMMqXS4W60nAWcUJNaQ"
"22","https://open.spotify.com/episode/3MTkY9AAGwQ0dqv2Zpg2sL?si=Y3IO51PsTu2IzVbMm7d7Rw"
"27","https://open.spotify.com/episode/6AYsaBqkdBHAtRVp4eAgeF?si=6tXixOAvS2SY9C_7m19dbA"
"26","https://open.spotify.com/episode/23kjbfgvybUL8X3I1jY9ZB?si=UBArOu28SDioCbQOUVddDw"
"24","https://open.spotify.com/episode/6t5DhkeMiMOPmBOAr9jrD7?si=G1_AhUU_SnS6Oq3C2ClJkA"
"25","https://open.spotify.com/episode/5wD06C6stqvXhpUi2jyxmm?si=NmX7scs8QgGBQgMA3-eGkQ"
"28","https://open.spotify.com/episode/1BMMVFHv73W9st41uUsrPH?si=qv9ElOcLRTiRJgO_BOjnjQ"
"29","https://open.spotify.com/episode/3oVqSjmvxFrVFkezuatNmt?si=HylDYuIWTTaN-xwzhz8Jmw"
"30","https://open.spotify.com/episode/3QY6Jqb8fztAabfILTljFF?si=E6poGuUUR5O6BZikfZ6Uww"
"31","https://open.spotify.com/episode/7KNpHKhoIHmIccpWPBRzRa?si=STftaL4OSkOG360JE7qKkA"
"34","https://open.spotify.com/episode/5h1Zk26FtgrjB2EvwSesIL?si=tdFnRpLqRbu92gpFrhtbPQ"
"32","https://open.spotify.com/episode/2lmD1tni8dmUVvb0WXFNpD?si=x8ypt61jRsC-K3NrmgBeaw"
"37","https://open.spotify.com/episode/7IYB9tVc2NaPS7Ca6MLw1w?si=bxPePn_eTkSAyDivHL0OCw"
"33","https://open.spotify.com/episode/7sQ96rH2rM1CqFwAlULxm3?si=e2fwwqn2TRaDGa2bdHr9XA"
"38","https://open.spotify.com/episode/0Bqt5YR3YIg4LUIp68EEnA?si=2BfEGTS6QlCmYL54Bo9Y3g"
"41","https://open.spotify.com/episode/1F06G0UrOqVyjb2vtmO2Zs?si=Wlvh_Yp8TVe_cHtITBLH2w"
"39","https://open.spotify.com/episode/1blCFiJB6jc6YaMRulwGfM?si=u_MW45ZiQCaBAsQfeJo1OA"
"44","https://open.spotify.com/episode/76WMZZixpMyrIn91bKxqXA?si=47iWCqqfSkiXoXmmVNcBjg"
"43","https://open.spotify.com/episode/1Xotcf2ezR7pny9TiXvClp?si=1hd-sQdPQNWmA09fLjmDYw"
"40","https://open.spotify.com/episode/65cpWQ5Cp68gL5h3xkTzTP?si=8YYfpRJtRXGp8pt4ZVgTOA"
"42","https://open.spotify.com/episode/08xchSK0idaizZh4jXYOja?si=ZtmGtxCPR-WD0KhHI1BEgQ"
"35","https://open.spotify.com/episode/22hFF2jtjyCxJzEY6VzY0t?si=KAxABg3wQZuRXHsBeOfJtw"
"46","https://open.spotify.com/episode/3pNNMTfl7dpp7oXdSIwv4H?si=l2xW3n21Qg6V8oxoIdnrcw"
"47","https://open.spotify.com/episode/51bQpFDZL4I627IEXiTkKg?si=sGSmhNDLTka9AV1-bcygMA"
"49","https://open.spotify.com/episode/0CRlEfqOP3poV0LCh3IFPK?si=L4upFFUZQUeJ-Z5Tk07CWg"
"48","https://open.spotify.com/episode/0sLg9mCBQ3vHtyjoOyV7Eq?si=lg4MrQN0TkqMUplqORwaLw"
"45","https://open.spotify.com/episode/1meRJqmtt4tFJbVo8RbSds?si=kZMgmT_uRTCMMFlKdsfwew"
"50","https://open.spotify.com/episode/68AeV9eyu73ePkWFhLTOoB?si=_Y0TxoypSGi85Ul2Mk1-Cg"
"51","https://open.spotify.com/episode/1lFkBezAakYSX2KctwUfAz?si=2cKqDyMsTUSvEnIu108-Fw"
"53","https://open.spotify.com/episode/2hAME7vi90yx0rmVDwgY40?si=cnevMuCLTPO6I6KE6C0H5g"
"54","https://open.spotify.com/episode/4LtCC9MjO44sJtEWufjN4p?si=bf16A_8dSOydrPloUo1dMg"
"52","https://open.spotify.com/episode/0ZmHYJfxi2yVDjjlUigBMV?si=1gEwIpqNR_-I45Fj2UldEw"
"55","https://open.spotify.com/episode/2IKtPDk1FUneP8W739JIjM?si=KCgb0dCPS-OoOdrAvooOFg"
"58","https://open.spotify.com/episode/6Oumlen71qCA5dhtfWk86i?si=7dB4AK6TQiCb7750Cd3TVw"
"59","https://open.spotify.com/episode/05uC2e8U5Z9ORW04pwbA4M?si=KmeniMdgRiG8_wPxHx5Vwg"
"61","https://open.spotify.com/episode/7tiH2pkVC4nMQTkLzbgaDB?si=JkeqoUH9RPCRexi1bTdaMA"
"60","https://open.spotify.com/episode/6CItIQmvXXM9S1X4IVqDQl?si=NgER3WEsReaewQZIdkt81Q"
"56","https://open.spotify.com/episode/1hAsF98LuAPa1Rwe4DjLBp?si=9cClXE_nRVOpX1jO6jNKVw"
"63","https://open.spotify.com/episode/0sUWA4IAxIFIkjQR5NYHYV?si=tV0dA3B_TPS5x_TxqZS72Q"
"57","https://open.spotify.com/episode/3nDXnE5ajWoaOudPFWPUTb?si=oz33VjPRRd-AGuvp2IWwHA"
"64","https://open.spotify.com/episode/2qaKCfJMxgKPxY6shkwxts?si=ndlpzeVYTf2p1T1FM-0jqw"
"66","https://open.spotify.com/episode/5KKXnwe8NNc4CsNoHf7DTH?si=2YPpvMA-TVKXp5aFtZFWog"
"68","https://open.spotify.com/episode/4hzZZURebybuHLjUwHh9BV?si=zRXQH1hERBiKofHF0_rFmw"
"65","https://open.spotify.com/episode/0hrdtiSoHY8QU3EN8apQQK?si=Uuji3slaR7GD1F8z9tmT6w"
"67","https://open.spotify.com/episode/1dShLlac93hJOqx62Yo3D0?si=QctHKNh2RcmJoajXG7oImA"
"69","https://open.spotify.com/episode/6QRL1BHSgr5kybXUgLrhVK?si=1lIQx85zSEq6j9yQ0cmt2Q"
"72","https://open.spotify.com/episode/6rs8VBZzQkMCwruL52tLV3?si=o70THDiUTkO6QiZ03Xn68Q"
"62","https://open.spotify.com/episode/5gUSef8tb9KfWOOpWZIQdi?si=yLIi7BKdQwaI8kylP_nzjA"
"71","https://open.spotify.com/episode/5EnrnF1IzIeWTPcCAddyzv?si=EOWtwT0OQy6CIWHSS0aU8g"
"70","https://open.spotify.com/episode/47ts5Cbwpkg3AOKMbfHmrR?si=NIlGQLe_RH-yDcXjBe4vxA"
"76","https://open.spotify.com/episode/3fkJssmxnWr2bsXpnLdl1W?si=oh3ZrQBHSnu_RnG4FdWElQ"
"73","https://open.spotify.com/episode/77hvLfCizDMGwRhJDrl2q5?si=AhAva_r3QIiVXze-kdsmyw"
"74","https://open.spotify.com/episode/5W9qQlCQjW2ZGAwXgzIXy5?si=cfzE12pcR9ylqBaa7xCR4w"
"77","https://open.spotify.com/episode/7oim1E14asNDpC64SnZLQS?si=kJz0dFHIQSe3f7e6ZguhPQ"
"75","https://open.spotify.com/episode/3zdK67cuIoDc62CQnKVbEq?si=U6C43B8JQQWi0dXZra6llw"
"80","https://open.spotify.com/episode/1TZ1CugecSveRmZIeARO0x?si=toXcccFVQ5KFtHXZbm8Q7w"
"83","https://open.spotify.com/episode/5apLHVbFXxvhpVR14Z9mKk?si=kMYi1T7jRUuv5SdytVKbtA"
"78","https://open.spotify.com/episode/1biKRJmMWtC80TeqyOgIP9?si=BlgP2zQjRqaepC0koY0o4A"
"79","https://open.spotify.com/episode/4oXjJaJVD2yLg8FFJBKxQX?si=bOkIwiZ8RYu1lgASFPMDig"
"84","https://open.spotify.com/episode/5EsnVU9hY4kD2I40gWcYUK?si=TMzMSFD0R02OaTjzbv0p_g"
"82","https://open.spotify.com/episode/1oQvoj82mNAA8f7cjrh20w?si=-Z6Il2mARFuSncqhoqOSbA"
"81","https://open.spotify.com/episode/4grI7ruKmNkVUfEp4Q9bl2?si=zCjv2Tl4S5WoeP8MTUnxaA"
"85","https://open.spotify.com/episode/68clhTsSiFj06bG4AUed7x?si=pz9ixQ17T2KE0mLfOVoLxg"
"86","https://open.spotify.com/episode/0Xlid5DRFYtRxBnsRjrbLc?si=gtknJgEbSxmKp54UtAHdKA"
"89","https://open.spotify.com/episode/0Jf0uSAQD3FuBmnraA70mN?si=7ZO_LJuBRiKKJowcy2VIHA"
"87","https://open.spotify.com/episode/112MD6y174GIx9xpw6bTnv?si=O6D2izAkQx67IS70__WV0w"
"88","https://open.spotify.com/episode/3kjwmGHnWHUHPISu9k3xhq?si=vTGlENffRjSk896jIL8CHA"
"92","https://open.spotify.com/episode/3ijUJ6jle0pqdCJZ9rSMke?si=0k6PjabiTYGn7Z26I6CiUw"
"90","https://open.spotify.com/episode/0t4vBQOvrOUPOVeRDBg2Dm?si=s1gvQo4TT2-8RSbUg-SNHg"
"91","https://open.spotify.com/episode/70auM4pogjLYWP2LlhLAJY?si=dJ36CkAMStm4KoPd4bbmYQ"
"94","https://open.spotify.com/episode/4Fa2Lf36dWkw7A908tgE2p?si=c7pzdlh2SMC40fZCwtGnLA"
"93","https://open.spotify.com/episode/2cC4T6cti0iwsL1hnHVLPC?si=hVYtDgeGROmERgj0HQkW7A"
"95","https://open.spotify.com/episode/788p2QSS3xLOsTT5cvVGEZ?si=c1f0QC01TCqrd3Wo5bL8nw"
"96","https://open.spotify.com/episode/4RPCf0xBztKf80mWl9KdGG?si=TJ4lsUJ6SkOjx6Ad7sX0QQ"
"97","https://open.spotify.com/episode/7eDZ19iXFFQFfTeR6tCOou?si=-66G9Ff9RpWw_cwH8rIY-Q"
"100","https://open.spotify.com/episode/2cN7puEojeOitgJ2KQVPBZ?si=1Q58GxEOSnOhq-_QAVRQOw"
"101","https://open.spotify.com/episode/2XjaaaX57OqQPzUO53Vwlg?si=7bf2oqCSQ_-KspeQD5GaWg"
"98","https://open.spotify.com/episode/588lnhK3ndT9PgsM7yI18m?si=UeYXIiasTbmeeVKwLc3rUQ"
"99","https://open.spotify.com/episode/2myCwCdbAWZ2epIWsLVdc8?si=EO-coAjAR5et9QiYQNfckw"
"103","https://open.spotify.com/episode/7f47dxCio3Kqm8Nwf91JCG?si=m3rsAKcxTo-QHZbvrlDYHA"
"102","https://open.spotify.com/episode/1AhYMobPjvCYTYtqcxuJRY?si=rZmhk75cRX6S3-IhyFYIeQ"
"104","https://open.spotify.com/episode/7Iv1xlEzYArHWLoLenM4bh?si=UcxpOL9tR-Ovg9lYU3jFuA"
"108","https://open.spotify.com/episode/1TjbeKxYHr2we8t4h3WyXd?si=JY7D-kHuRpisWYNYAVyPVw"
"107","https://open.spotify.com/episode/7uMW3ETqpNqZZssT0dz39F?si=m-5eEemQTfW3zsFlV2-LIw"
"110","https://open.spotify.com/episode/0sBJ0tpeO4eaFNmqqlHY0f?si=u58U-Ti5S5y6rYZd-ZnGAA"
"105","https://open.spotify.com/episode/4FfbyqLSucAkUWAp5mFWd3?si=_W9666FvRReZZR-i3t0Zug"
"111","https://open.spotify.com/episode/7KlV7qIC1CjLbi0BJCrzs8?si=eGSHPNjDR9O6MgB8K23lEw"
"109","https://open.spotify.com/episode/6qrEUY1j4NCyDk3sStmsvt?si=5xQToYyXTZaItERHJqroeA"
"106","https://open.spotify.com/episode/3EEubxOU8jku4KKtmkeeBk?si=ZwM7kQ5SQvu0rbz4rys8Aw"
"114","https://open.spotify.com/episode/0hVZTZ7FrobxcIaJEgU1nY?si=vXN7vsPtShWsMF2IGcy19w"
"112","https://open.spotify.com/episode/44HtnGJSaGWiirRyF98kFv?si=g102A_jeTAadR4vf29ehTw"
"119","https://open.spotify.com/episode/5ROaP8MeZlbEukATSSstK8?si=8Vxg0QPKQ1C4Tnvzmtn_wA"
"115","https://open.spotify.com/episode/5h2k4PxsZb5P0nIRwLVlaT?si=pawe2_EiTniuqfhEixII_g"
"117","https://open.spotify.com/episode/4uzQZtZ7fAc5QnOryik19k?si=m2860lxeQ5awp3G_tiYpmA"
"113","https://open.spotify.com/episode/4qLIr1a5jfFMkTbY4ZgGKo?si=q6U6dxlETC2i6S5KAwvAGA"
"118","https://open.spotify.com/episode/1RWIhpNGO7jF4mQIV5sdwl?si=99iSK3CoQ96LcIUJ8lijAQ"
"120","https://open.spotify.com/episode/7eMC1BxwN3hITYe1gp1wuP?si=b8EQf38URsOVtuaLL_r1gA"
"122","https://open.spotify.com/episode/3wqkN9liaOvJ4BoJV2vCSI?si=jBxEHrwGQGCqvWqjpWfvhQ"
"116","https://open.spotify.com/episode/6fNhJM8riJT3R4y5W845gu?si=bRp3-VSeTdOQJa2F1frK7g"
"121","https://open.spotify.com/episode/0SLM26NReHqfLUKd7mCF0M?si=X34ca_ZQTeOiGXuU-_KUQQ"
"124","https://open.spotify.com/episode/0Ojp670adPbtHhK8PoBgOk?si=C3XP3LS3R1eSB6GbBrS2vQ"
"125","https://open.spotify.com/episode/4QJSvWIG2CuQV8UGWx52za?si=kAAWZPsPT-axEb1z9oY0Ug"
"127","https://open.spotify.com/episode/7ah1Q38PDohgTYNZYc8I6S?si=GJprVIvuQAGlxcasXt-bJA"
"123","https://open.spotify.com/episode/5Br2dwfmqNeD8NztmG22KZ?si=ly5rIAQTQvmNL3Y0N6e3Kg"
"129","https://open.spotify.com/episode/4PHRn4wKiPh1YD2hN19Tow?si=uRmG_geHRweamdYVGbdTvg"
"130","https://open.spotify.com/episode/1f43jQvfzgn1PTyeeq5rCS?si=wQm03QkwTn6RTmF1zr1_Hw"
"128","https://open.spotify.com/episode/0QRuzp9AbbxxORoPzbUgXr?si=7vA0dZM-TFm2dayRc1ogJA"
"126","https://open.spotify.com/episode/6hGSZAI68c61j8E69sJd6p?si=HAbLghtLT4mv_WnYIs7Wlw"
"133","https://open.spotify.com/episode/3ynpnMeRQ8Ga2bs5CNnWCX?si=aVTvsqV0QwOFnQUxlg_Z3w"
"131","https://open.spotify.com/episode/4ki7uQEdHPgaIxSlmH8zk7?si=9TEZGppdS92ADUYuHN9yLw"
"137","https://open.spotify.com/episode/2kq0KfvMapD11qouD97RBn?si=-ueSEi9YRS-UlFPiel_3DQ"
"132","https://open.spotify.com/episode/4NNxRFFtFQhlOaRGnYc7mi?si=fRFIcbp9QSOUERGtZ2Q9Ww"
"136","https://open.spotify.com/episode/4tuVM6yYuH3QgaUpJwYXTI?si=Omiu0AEPRXuE9ROyVwduGw"
"134","https://open.spotify.com/episode/4vr5fKkKKuxQEuibnzq674?si=vmSuhLVqQ9mOShjEWGr9zw"
"138","https://open.spotify.com/episode/4pfetFlkxSmW2QGEbBNu98?si=9zYAJviUR4CzOcbuHHGQ4g"
"135","https://open.spotify.com/episode/7mj5VYQbPd5uUUFRjwNxtY?si=Sws5Lf1pR3yc2ZVPdEE6Vw"
"142","https://open.spotify.com/episode/0THwVxdWpCD5ex6bd1yUQf?si=wItRcGzyTX2eXefreVPSAg"
"141","https://open.spotify.com/episode/4vmxmXkXd4oQvFCA1sENmO?si=0NXwuYeiQKu8074P5ZClTg"
"144","https://open.spotify.com/episode/0DgUfzwvZpnkqmhmYgIL1t?si=Oe7jH-h3TSebANGx6_Xrgg"
"140","https://open.spotify.com/episode/6dlYTr2aCYPkjACCi5MgsH?si=fYzYefCKQOGjMlndX5uAWg"
"143","https://open.spotify.com/episode/3vyWsxpHb0VjeCcyxFlPPo?si=0qUMo_AbSXiUWN0DK_Pv_A"
"145","https://open.spotify.com/episode/4sMfAP4PENXFZ4aBTJKY9c?si=PIN30OLpRK6cjeQNOEb6Rg"
"139","https://open.spotify.com/episode/2OpPrfniS21gCj6NCf34Vi?si=4I2ves6FQFmMdtSAZr3UuQ"
"147","https://open.spotify.com/episode/5oz9ObdqGKywfQH58Z5RZH?si=lagtz7RkRVquWHzBhy5JQw"
"146","https://open.spotify.com/episode/0KkB1NOCgbUDXMg6Qlpe1P?si=W3-EQA9KQNOtuhOC4FO2xQ"
"149","https://open.spotify.com/episode/6GErbn5MACb5A8DUxtToBx?si=cpwsExKvT9mecBCp1u1Yig"
"148","https://open.spotify.com/episode/1Ei0BAXEfvbaI5oBOFHwvx?si=OjmcXpIRQqCSToIE1xhVaQ"
"151","https://open.spotify.com/episode/0eLpBhvOO2nHzwqaON3eTU?si=simsSyd9R7iGBDDpwaBx_Q"
"150","https://open.spotify.com/episode/3GP3zuxqcEMxllTZrXsIL7?si=ofmLNS4tTHuDFa1UqMldXg"
"154","https://open.spotify.com/episode/43lbIUfZzcoHgGT4AlmvRX?si=oRC9OcyoSFev_Rm871A9FQ"
"155","https://open.spotify.com/episode/1ns0Ivr56jOpC1Of5roYQk?si=MTezDwPnQiG8o7sKzCBM_g"
"153","https://open.spotify.com/episode/2CJ7P6wpm1ZTFb21LgMYVP?si=PP9vMVTdRaShqcc07Jq9uQ"
"152","https://open.spotify.com/episode/3wGOWdEwpttXknl0eMtv2J?si=xqQzwFlVSGeDeEvoIYwT3g"
"156","John Wick: Chapter 3 – Parabellum"
"157","https://open.spotify.com/episode/5GuBsBsmn9BTSzsiZzBBWO?si=46S_q6ZzT-6sWEE3eBHPYQ"
"158","https://open.spotify.com/episode/02u4aLnRXYLUiVvssrRo4L?si=hoI61c51SLmOCe_Mmbw8cA"
"159","https://open.spotify.com/episode/06OwY5FLnvHIn7TGHb1MQR?si=c-zWenRHRjSecEsONBJOPg"
"160","https://open.spotify.com/episode/5ZRM4tg6qNUeBNro48rySN?si=l7bpYiqLRT2lYBWTR55Ncg"
"162","https://open.spotify.com/episode/4NcFWbX3d8TG0B7JpDDFTD?si=3F5MsAdYRKSaGfT5t_4GMg"
"161","https://open.spotify.com/episode/5YWqiYZ6bCJ76hLQ0i6P0d?si=C0OObhCuRWOlElcyuD22Rg"
